579,287,OVER,216.0,-108,,
580,287,UNDER,216.0,-112,,
581,288,HOME,,-205,,
582,288,AWAY,,170,,
583,289,HOME,-5.0,-105,,
584,289,AWAY,5.0,-115,,
585,290,OVER,235.5,-112,,
586,290,UNDER,235.5,-108,,
587,291,HOME,,-425,,
588,291,AWAY,,330,,
589,292,HOME,-9.5,-108,,
590,292,AWAY,9.5,-112,,
591,293,OVER,229.0,-108,,
592,293,UNDER,229.0,-112,,
593,294,AWAY,,250,,
594,294,HOME,,-310,,
595,295,AWAY,7.5,-105,,
596,295,HOME,-7.5,-115,,
597,296,OVER,227.0,-110,,
598,296,UNDER,227.0,-110,,
599,297,HOME,,-125,,
600,297,AWAY,,105,,
601,298,HOME,-2.0,-105,,
602,298,AWAY,2.0,-115,,
603,299,OVER,222.0,-108,,
604,299,UNDER,222.0,-112,,
605,300,HOME,,-298,,
606,300,AWAY,,240,,
607,301,HOME,-7.0,-105,,
608,301,AWAY,7.0,-115,,
609,302,OVER,225.5,-110,,
610,302,UNDER,225.5,-110,,
611,303,HOME,,240,,
612,303,AWAY,,-298,,
613,304,HOME,7.0,-108,,
614,304,AWAY,-7.0,-112,,
615,305,OVER,225.0,-108,,
616,305,UNDER,225.0,-112,,
617,306,HOME,,-310,,
618,306,AWAY,,250,,
619,307,HOME,-7.5,-108,,
620,307,AWAY,7.5,-112,,
621,308,OVER,228.5,-110,,
622,308,UNDER,228.5,-110,,
623,309,AWAY,,-305,,
624,309,HOME,,245,,
625,310,AWAY,-7.5,-105,,
626,310,HOME,7.5,-115,,
627,311,OVER,224.0,-112,,
628,311,UNDER,224.0,-108,,
629,312,HOME,,-278,,
630,312,AWAY,,225,,
631,313,HOME,-6.5,-110,,
632,313,AWAY,6.5,-110,,
633,314,OVER,212.0,-112,,
634,314,UNDER,212.0,-108,,
635,315,AWAY,,-105,,
636,315,HOME,,-115,,
637,316,AWAY,1.0,-108,,
638,316,HOME,-1.0,-108,,
639,317,OVER,229.0,-112,,
640,317,UNDER,229.0,-108,,
641,318,AWAY,,400,,
642,318,HOME,,-535,,
643,319,AWAY,10.5,-115,,
644,319,HOME,-10.5,-105,,
645,320,OVER,233.5,-110,,
646,320,UNDER,233.5,-110,,
647,321,HOME,,205,,
648,321,AWAY,,-250,,
649,322,HOME,6.0,-108,,
650,322,AWAY,-6.0,-112,,
651,323,OVER,222.5,-112,,
652,323,UNDER,222.5,-108,,
653,324,AWAY,,160,,
654,324,HOME,,-192,,
655,325,AWAY,5.5,-112,,
656,325,HOME,-5.5,-108,,
657,326,OVER,223.5,-110,,
658,326,UNDER,223.5,-110,,
659,327,HOME,,-535,,
660,327,AWAY,,400,,
661,328,HOME,-10.5,-102,,
662,328,AWAY,10.5,-118,,
663,329,OVER,238.0,-108,,
664,329,UNDER,238.0,-112,,
665,327,HOME,,-166,,
666,327,AWAY,,130,,
667,328,HOME,-2.5,-110,,
668,328,AWAY,2.5,-120,,
669,329,OVER,241.5,-110,,
670,329,UNDER,241.5,-120,,
671,330,HOME,,240,,
672,330,AWAY,,-298,,
673,331,HOME,7.0,-108,,
674,331,AWAY,-7.0,-112,,
675,332,OVER,226.0,-112,,
676,332,UNDER,226.0,-108,,
677,333,HOME,,-395,,
678,333,AWAY,,310,,
679,334,HOME,-9.0,-112,,
680,334,AWAY,9.0,-108,,
681,335,OVER,229.5,-108,,
682,335,UNDER,229.5,-112,,
683,336,AWAY,,164,,
684,336,HOME,,-198,,
685,337,AWAY,4.5,-108,,
686,337,HOME,-4.5,-112,,
687,338,OVER,216.5,-110,,
688,338,UNDER,216.5,-110,,
689,339,AWAY,,-105,,
690,339,HOME,,-115,,
691,340,AWAY,1.0,-110,,
692,340,HOME,-1.0,-110,,
693,341,OVER,228.0,-108,,
694,341,UNDER,228.0,-112,,
695,342,HOME,,215,,
696,342,AWAY,,-265,,
697,343,HOME,6.5,-108,,
698,343,AWAY,-6.5,-112,,
699,344,OVER,233.5,-110,,
700,344,UNDER,233.5,-110,,
701,345,AWAY,,150,,
702,345,HOME,,-180,,
703,346,AWAY,4.5,-110,,
704,346,HOME,-4.5,-110,,
